"source";"target";"Weight"
300;6467;3
300;7566;4
301;303;4
301;599;3
301;21164;3
301;24028;3
302;619;3
308;67043;4
309;374;4
309;655;5
309;878;7
309;1969;3
309;4012;3
309;4062;3
309;4819;3
309;6285;3
309;7455;7
309;11147;3
309;14141;3
309;14843;3
309;16522;4
309;16752;4
309;17396;3
311;1377;3
313;155;3
313;343;12
313;345;3
313;4254;5
313;5102;3
313;5387;3
313;54811;3
320;114;3
320;630;3
320;631;4
320;974;3
320;1377;5
320;1831;3
320;2590;6
320;3554;5
320;3909;3
320;3911;4
320;4168;4
320;16836;3
320;76839;3
321;1116;3
321;17765;3
323;155;3
324;325;6
324;327;5
324;328;5
324;1004;4
324;2080;4
324;94330;3
325;327;5
325;328;7
325;1004;4
325;1941;3
325;2078;3
325;2080;5
325;4168;3
325;5252;3
325;5390;3
325;8402;3
325;16966;3
325;94330;3
326;398;3
326;630;6
326;635;3
326;916;3
326;5390;3
327;328;4
327;630;4
327;1004;5
327;1377;3
327;2078;3
327;2080;3
327;2170;3
327;2590;3
327;3153;3
327;4168;3
327;16836;3
328;630;5
328;992;3
328;1004;3
328;2080;5
328;2115;5
328;10036;4
328;17614;4
328;24411;3
328;30724;3
328;39544;3
328;50780;3
328;94330;3
329;1400;3
329;4495;3
331;554;3
331;925;3
343;345;10
343;4254;9
343;5102;3
343;5387;3
343;10100;3
343;54811;4
345;4254;4
350;5102;4
350;5387;3
350;14017;4
355;27223;4
355;34555;3
355;38889;3
357;358;8
357;547;13
357;611;4
357;1007;4
357;1014;5
357;3557;6
357;6463;6
357;13369;4
357;20914;5
357;23420;5
357;51824;6
357;68438;4
357;99322;6
357;121631;4
358;8;3
358;372;4
358;485;3
358;1793;3
358;1825;4
358;2013;3
358;4452;4
358;4466;4
358;6315;4
358;9684;4
358;14174;3
358;44953;3
358;99322;3
358;476548;3
360;878;3
360;2997;4
360;3425;3
360;7566;3
360;15126;6
360;21423;3
360;34377;3
360;56914;3
361;379;8
361;424;10
361;643;10
361;100841;4
372;374;6
372;375;3
372;472;3
372;536;3
372;599;4
372;1283;3
372;1825;4
372;4452;5
372;4466;5
372;5447;6
372;9684;8
372;14174;4
372;16522;5
373;375;3
373;472;3
373;611;3
373;8092;8
373;8930;4
373;12972;3
373;13118;3
373;15946;3
373;16522;4
373;17801;3
373;23269;3
373;37622;3
373;49850;3
373;93631;3
373;644408;3
374;375;4
374;472;3
374;561;4
374;880;3
374;1827;3
374;4452;3
374;4466;5
374;5698;3
374;13818;3
374;14092;5
374;18945;3
374;19235;3
375;309;3
375;483;3
375;731;3
379;424;5
383;114;3
383;2590;3
398;114;3
398;155;3
398;588;4
398;629;3
398;635;3
398;976;3
398;989;3
398;992;3
398;1115;3
398;1377;6
398;1659;3
398;1920;3
398;67465;3
400;442;3
400;1831;3
400;1866;3
400;1920;3
400;4168;3
400;5997;3
400;6191;3
400;7656;4
404;633;3
404;666;3
413;2117;3
413;2596;4
413;3326;7
415;793;3
424;643;3
424;701;3
424;2168;3
424;3390;3
424;6463;3
424;36286;3
426;740;4
426;863;3
426;905;5
426;1400;3
426;1791;4
426;1964;3
426;3699;3
426;4668;3
426;6724;3
427;472;5
427;1016;4
427;3184;5
427;5197;4
427;5233;7
427;17087;4
427;21484;4
427;52960;4
427;68258;4
427;75162;3
427;79201;4
427;147909;3
427;195643;4
427;398314;3
427;443053;3
428;10328;4
428;59953;3
428;65690;3
428;89553;3
428;90951;3
428;110825;3
428;128092;3
428;128128;3
437;2630;5
437;6477;3
437;13697;4
438;3223;4
438;3616;4
438;10976;4
438;19157;3
438;20610;3
438;27868;4
438;34515;3
438;46797;3
438;59857;4
438;71967;3
438;71968;3
438;81795;3
438;85120;3
438;115090;4
438;440117;4
440;13091;3
440;48329;3
441;22069;3
442;7656;3
446;588;3
446;626;4
446;1659;4
446;1926;4
446;2590;3
446;4318;3
452;2585;3
452;3554;3
452;9521;3
452;36101;3
455;1143;4
456;1162;3
457;793;3
457;885;4
457;1061;4
457;1260;5
457;3073;5
457;3175;5
457;3682;3
457;4293;3
457;5969;3
457;7786;3
457;11898;3
457;39158;4
457;48790;6
457;49480;3
464;292;4
464;1297;4
464;1299;4
464;4598;3
465;1727;3
467;483;3
471;472;4
471;1077;3
471;1079;4
471;1722;3
471;2715;3
471;14100;5
471;22853;4
471;30471;3
471;43981;3
471;87400;3
471;104276;3
482;629;3
482;1145;3
482;2113;3
483;484;3
483;485;3
483;700;3
483;1301;6
483;1720;3
483;2447;3
485;1793;3
485;2652;3
485;4466;3
485;19690;3
488;487;3
488;12443;3
499;501;4
499;12969;4
499;28546;3
512;155;3
512;1377;3
512;2823;3
512;4637;3
522;5232;3
535;2501;3
539;155;3
539;97314;6
543;544;4
543;546;10
543;891;8
543;892;5
543;893;7
543;1191;3
543;21377;3
543;40013;3
547;611;4
547;626;3
547;1007;3
547;4703;3
547;6463;5
547;10480;4
547;50611;3
547;81514;3
547;82714;3
547;97468;3
547;118755;3
549;550;4
