"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"1338";"United States of America";"Arthur Penn";;1922;15;1;"M";;"Drama";39;"middle eastern";35;34;47;"";;;
"124449";"Canada";"Brandon Jay McLaren";40;1980;8;17;"M";27;"Suspense";29;"black";50;35;105;"";;;
"662729";"Spain";"Brays Efe";32;1988;;;"M";;"";;"latino hispanic";39;22;113;;;;
"205086";;"Celyn Jones";41;1979;8;7;"M";24;"Drama";38;"white";70;30;104;"";;;
"16177";"China";"Chow Yun-Fat";65;1955;18;0;"M";31;"Accion";48;"asian";41;35;80;"";;;
"4155";"United Kingdom";"David O'Hara";55;1965;25;6;"M";26;"Drama";56;"white";45;29;90;"";;;
"516386";"Ireland";"Emmett J. Scanlan";42;1979;3;13;"M";36;"Drama";25;"white";98;34;104;"";;;
"71092";"Germany";"Gabriela Maria Schmeide";;;;;"F";;"";;"white";100;31;;;;;
"123725";"Spain";"Gracia Olayo";63;1957;15;6;"F";38;"Comedia";47;"white";79;33;82;"";;;
"15227";"United Kingdom";"Bill Paterson";75;1945;21;9;"M";41;"Drama";42;"white";61;42;70;"";;;
"213589";"Canada";"Ennis Esmer";42;1978;6;13;"M";26;"Comedia";36;"white";93;28;103;"";;;
"60219";"United Kingdom";"Stephen Graham";47;1973;32;15;"M";28;"Drama";30;"white";44;40;98;"";;;
"98600";"United States of America";"Danielle Panabaker";33;1987;11;24;"F";16;"Comedia";31;"white";99;32;112;"";;;
"165328";"Spain";"Mario Casas";34;1986;25;5;"M";20;"Drama";42;"latino hispanic";34;24;111;"";;;
"8801";"United States of America";"Michael Pare";61;1959;39;5;"M";24;"Suspense";35;"latino hispanic";40;35;84;"";;;
"97604";"United Kingdom";"Robert Pattinson";34;1986;36;0;"M";19;"Drama";44;"middle eastern";56;23;111;"";;;
"3439";"United States of America";"Jeff Goldblum";68;1952;63;10;"M";23;"Comedia";41;"indian";24;27;77;"";;;
"707";"United States of America";"Gregory Peck";;1916;52;0;"M";;"Drama";47;"indian";33;28;41;"";;;
"15761";"United States of America";"Thomas Gibson";58;1962;15;7;"M";30;"Drama";36;"latino hispanic";46;30;87;"";;;
"24378";"United States of America";"Jeremy Piven";55;1965;44;5;"M";27;"Comedia";42;"white";41;24;90;"";;;
"21625";"United States of America";"Edward Norton";51;1969;36;2;"M";28;"Drama";39;"white";30;27;94;"";;;
"4012";"United Kingdom";"Gary Oldman";63;1958;70;2;"M";30;"Drama";35;"white";58;43;83;"";;;
"25191";"United States of America";"Josh Pais";56;1964;33;19;"M";24;"Comedia";37;"white";90;32;89;"";;;
"24356";"United States of America";"Mekhi Phifer";45;1975;25;13;"M";21;"Drama";39;"black";99;33;100;"";;;
"5728";"France";"Roger Carel";;1927;39;6;"M";;"Animacion";50;"white";100;49;52;"";;;
"100830";"United States of America";"Amy Poehler";49;1971;30;13;"F";27;"Comedia";60;"white";100;33;96;"";;;
"10299";"Canada";"Catherine O'Hara";67;1954;38;9;"F";28;"Comedia";53;"white";99;38;79;"";;;
"109223";"United States of America";"David Eigenberg";56;1964;12;25;"M";30;"Drama";36;"white";54;44;89;"";;;
"5946";"France";"Frederic Pierrot";60;1960;43;5;"M";33;"Drama";58;"middle eastern";36;35;85;"";;;
"12592";"Cuba";"Jorge Perugorria";55;1965;39;1;"M";31;"Drama";58;"white";100;29;90;"";;;
"8897";"United States of America";"Freddie Prinze Jr.";45;1976;15;10;"M";22;"Comedia";47;"white";100;28;101;"";;;
"863";"United States of America";"Jack Palance";;1918;55;0;"M";;"Western";35;"white";44;24;43;"";;;
"15281";"United States of America";"David Paymer";66;1954;49;40;"M";26;"Comedia";40;"white";84;27;79;"";;;
"108201";"United States of America";"James Eckhouse";66;1955;15;25;"M";36;"Comedia";35;"middle eastern";64;23;80;"";;;
"14947";"Belgium";"Benoit Poelvoorde";56;1964;32;0;"M";29;"Comedia";65;"white";100;35;89;"";;;
"3088";;"Oliver Platt";61;1960;67;13;"M";29;"Comedia";36;"white";43;26;85;"";;;
"67773";"United Kingdom";"Alfred Enoch";32;1988;8;3;"M";15;"Fantasia";47;"black";68;27;113;"";;;
"71069";"United States of America";"Dakota Fanning";27;1994;39;12;"F";7;"Drama";46;"white";100;24;119;"";;;
"81833";"United Kingdom";"Dominic Purcell";51;1970;24;8;"M";30;"Suspense";42;"latino hispanic";49;38;95;"";;;
"6892";"United States of America";"Joe Pantoliano";69;1951;60;10;"M";25;"Comedia";43;"white";89;48;76;"";;;
